,acaibowls,asianfusion,bakeries,breakfast_brunch,bubbletea,cafes,coffee,cupcakes,desserts,french,gluten_free,greek,indpak,italian,japanese,mediterranean,mideastern,newamerican,persian,pizza,salad,sandwiches,seafood,sushi,thai,turkish,vegetarian,vietnamese,wine_bars,salvadoran,price_1_percentage,price_2_percentage,price_3_percentage,price_4_percentage,rate_1_percentage,rate_1.5_percentage,rate_2_percentage,rate_2.5_percentage,rate_3_percentage,rate_3.5_percentage,rate_4_percentage,rate_4.5_percentage,rate_5_percentage,zip_code,count,latitude,longitude,income,city
123,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0.5609756097560976,0.43902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.21951219512195122,0.3902439024390244,0.3170731707317073,0.04878048780487805,90640,41,34.01390039063713,-118.11661937763357,50326,Montebello
124,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0.7096774193548387,0.2903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.6129032258064516,0.3548387096774194,0.0,90650,31,33.903443765259645,-118.07595604660328,63669,Norwalk
125,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.6410256410256411,0.3076923076923077,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.15384615384615385,0.46153846153846156,0.358974358974359,0.0,90660,39,33.987434603405234,-118.09356641579987,61524,Pico Rivera
126,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,90670,10,33.92447698638165,-118.0547363183008,66509,Santa Fe Springs
127,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0.5,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.5,0.4583333333333333,0.0,90680,24,33.801530846092696,-118.00050517775068,53492,Stanton
128,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0.4305555555555556,0.5694444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.1388888888888889,0.5138888888888888,0.3055555555555556,0.027777777777777776,90701,72,33.86482660781431,-118.08114628751456,62863,Artesia
129,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0.38461538461538464,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.14102564102564102,0.5256410256410257,0.3076923076923077,0.0,90703,78,33.86131355469138,-118.08228859496825,98175,Cerritos
130,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,90704,5,33.413855227815226,-118.4488914773428,63021,Avalon
131,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0.5116279069767442,0.4883720930232558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11627906976744186,0.4883720930232558,0.37209302325581395,0.023255813953488372,90706,43,33.88582440315406,-118.12711748368912,52944,Bellflower
132,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0.6285714285714286,0.37142857142857144,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.14285714285714285,0.2,0.2857142857142857,0.3142857142857143,0.0,90710,35,33.79431274854654,-118.30091305395386,57968,Harbor City
