,STATE,zipcode
16740,CA,95202
16746,CA,95203
16752,CA,95204
16758,CA,95205
16764,CA,95206
16770,CA,95207
16776,CA,95209
16782,CA,95210
16788,CA,95212
16794,CA,95215
16800,CA,95219
16806,CA,95220
16812,CA,95222
16818,CA,95223
16824,CA,95224
16836,CA,95227
16842,CA,95228
16848,CA,95230
16854,CA,95231
16872,CA,95234
16878,CA,95236
16884,CA,95237
16890,CA,95240
16896,CA,95242
16902,CA,95245
16908,CA,95246
16914,CA,95247
16920,CA,95248
16926,CA,95249
16938,CA,95252
16950,CA,95255
16962,CA,95258
16968,CA,95301
16974,CA,95303
16980,CA,95304
16986,CA,95305
16992,CA,95306
16998,CA,95307
17004,CA,95310
17010,CA,95311
17022,CA,95313
17028,CA,95315
17034,CA,95316
17046,CA,95318
17052,CA,95319
17058,CA,95320
17064,CA,95321
17070,CA,95322
17076,CA,95323
17082,CA,95324
17088,CA,95326
17094,CA,95327
17100,CA,95328
17106,CA,95329
17112,CA,95330
17118,CA,95333
17124,CA,95334
17130,CA,95335
17136,CA,95336
17142,CA,95337
17148,CA,95338
17154,CA,95340
17160,CA,95341
17166,CA,95345
17172,CA,95346
17178,CA,95348
17184,CA,95350
17190,CA,95351
17196,CA,95354
17202,CA,95355
17208,CA,95356
17214,CA,95357
17220,CA,95358
17226,CA,95360
17232,CA,95361
17238,CA,95363
17244,CA,95364
17250,CA,95365
17256,CA,95366
17262,CA,95367
17268,CA,95368
17274,CA,95369
17280,CA,95370
17292,CA,95374
17298,CA,95376
17304,CA,95377
17310,CA,95379
17316,CA,95380
17322,CA,95382
17328,CA,95383
17334,CA,95385
17340,CA,95386
17346,CA,95387
17352,CA,95388
17358,CA,95389
17370,CA,95401
17376,CA,95403
17382,CA,95404
17388,CA,95405
17394,CA,95407
17400,CA,95409
17406,CA,95410
17412,CA,95415
17418,CA,95421
17424,CA,95422
17430,CA,95423
17436,CA,95425
17442,CA,95426
17454,CA,95428
17460,CA,95430
17466,CA,95432
17478,CA,95436
17484,CA,95437
17496,CA,95441
17502,CA,95442
17508,CA,95444
17514,CA,95445
17520,CA,95446
17526,CA,95448
17532,CA,95449
17538,CA,95450
17544,CA,95451
17550,CA,95452
17556,CA,95453
17562,CA,95454
17568,CA,95456
17574,CA,95457
17580,CA,95458
17592,CA,95460
17598,CA,95461
17604,CA,95462
17610,CA,95464
17616,CA,95465
17622,CA,95466
17628,CA,95467
17634,CA,95468
17646,CA,95470
17652,CA,95471
17658,CA,95472
17664,CA,95476
17670,CA,95482
17676,CA,95485
17682,CA,95490
17688,CA,95492
17694,CA,95494
17700,CA,95497
17706,CA,95501
17712,CA,95503
17718,CA,95519
17724,CA,95521
17730,CA,95524
17736,CA,95525
17754,CA,95528
17760,CA,95531
17766,CA,95536
17772,CA,95537
17778,CA,95540
17784,CA,95542
17790,CA,95543
17796,CA,95546
17808,CA,95548
17820,CA,95551
17826,CA,95552
17832,CA,95553
17838,CA,95554
17844,CA,95555
17862,CA,95560
17868,CA,95562
17880,CA,95564
17886,CA,95565
17892,CA,95567
17898,CA,95570
17904,CA,95573
17910,CA,95585
17916,CA,95589
17922,CA,95601
17928,CA,95602
17934,CA,95603
17946,CA,95605
17952,CA,95606
17958,CA,95607
17964,CA,95608
17970,CA,95610
17976,CA,95612
17982,CA,95614
17988,CA,95615
17994,CA,95616
18000,CA,95618
18006,CA,95619
18012,CA,95620
18018,CA,95621
18024,CA,95623
18030,CA,95624
18036,CA,95625
18042,CA,95626
18048,CA,95627
18054,CA,95628
18066,CA,95630
18072,CA,95631
18078,CA,95632
18084,CA,95633
18090,CA,95634
18126,CA,95640
18132,CA,95641
18138,CA,95642
18144,CA,95645
18150,CA,95648
18156,CA,95650
18162,CA,95651
18174,CA,95653
18180,CA,95655
18186,CA,95658
18192,CA,95659
18198,CA,95660
18204,CA,95661
18210,CA,95662
18216,CA,95663
18228,CA,95665
18234,CA,95666
18240,CA,95667
18252,CA,95669
18258,CA,95670
18264,CA,95672
18270,CA,95673
18288,CA,95677
