,zip_code,count,latitude,longitude,Price_1,Price_2,Price_3,Price_4,Rating_1,Rating_1.5,Rating_2,Rating_2.5,Rating_3,Rating_3.5,Rating_4,Rating_4.5,Rating_5,count_businesses,city
2338,98505,1,47.06942030497271,-122.97580718994101,0,1,0,0,0,0,0,1,0,0,0,0,0,1,Olympia
2339,98506,17,47.0510691733243,-122.86387461215524,8,9,0,0,0,0,0,0,1,8,3,5,0,17,Olympia
2340,98509,3,47.044125811484,-122.80514715837,3,0,0,0,0,0,0,1,0,1,1,0,0,3,Lacey
2341,98511,1,46.984678799877,-122.77149270266099,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Olympia
2342,98512,14,46.97948911319469,-122.95531795839993,8,5,1,0,0,0,0,0,2,2,4,5,1,14,Olympia
2343,98513,8,46.99803991249999,-122.7358997625,3,4,1,0,0,0,1,0,1,0,0,4,2,8,Olympia
2344,98516,75,47.05847782314893,-122.76747277898176,30,45,0,0,0,0,3,10,11,21,18,9,3,75,Lacey
2345,98520,52,46.97126411622685,-123.81963319413096,33,19,0,0,1,2,6,8,10,6,12,6,1,52,Aberdeen
2346,98524,6,47.38229061666667,-122.83213786666668,3,3,0,0,0,0,0,0,0,3,1,1,1,6,Allyn
2347,98526,2,47.45923,-123.8911431390745,1,1,0,0,0,0,0,0,0,2,0,0,0,2,Amanda Park
2348,98528,22,47.449312691650455,-122.82981462407739,11,11,0,0,0,0,2,1,2,6,6,5,0,22,Belfair
2349,98531,71,46.727013936180896,-122.97065797425006,41,28,2,0,0,2,8,5,11,14,15,15,1,71,Centralia
2350,98532,61,46.653230614470985,-122.95720815729123,42,18,1,0,1,2,4,7,11,12,12,8,4,61,Chehalis
2351,98535,1,47.113655090332,-124.174301147461,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Copalis Beach
2352,98536,1,47.195065,-124.19778600000001,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Pacific Beach
2353,98537,3,46.93936962519499,-123.75350546197033,2,1,0,0,0,0,0,0,1,0,1,1,0,3,Cosmopolis
2354,98541,13,47.00467625527254,-123.40343221740515,7,5,1,0,0,1,0,0,5,2,4,1,0,13,Elma
2355,98542,1,46.532455999999996,-122.74119499999999,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Ethel
2356,98547,2,46.79607,-124.09009499999999,0,2,0,0,0,0,0,0,0,2,0,0,0,2,Grayland
2357,98548,5,47.412695038986655,-123.13633714096679,2,3,0,0,0,0,0,0,1,2,2,0,0,5,Hoodsport
2358,98550,19,46.97762033468892,-123.87924029723598,13,5,1,0,0,1,2,2,2,3,3,4,2,19,Hoquiam
2359,98555,2,47.5135697017837,-123.05982471837301,0,2,0,0,0,0,0,0,0,0,1,1,0,2,Lilliwaup
2360,98557,4,47.05538831078613,-123.26694160993651,3,1,0,0,0,0,0,0,1,0,2,1,0,4,McCleary
2361,98558,2,46.936161782836905,-122.5558884399415,2,0,0,0,0,0,0,0,1,1,0,0,0,2,McKenna
2362,98562,1,47.2242283,-124.20944440000001,0,0,1,0,0,0,0,0,0,0,1,0,0,1,Moclips
2363,98563,16,46.97876700947039,-123.60146718936407,4,12,0,0,0,0,0,1,1,6,3,3,2,16,Montesano
2364,98564,4,46.52386452963085,-122.505409846292,2,2,0,0,0,0,0,0,0,2,2,0,0,4,Mossyrock
2365,98565,3,46.575245718904,-122.91095853091967,2,1,0,0,0,0,0,0,0,1,0,2,0,3,Napavine
2366,98568,1,46.840765600000005,-123.2368527,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Oakville
2367,98569,36,47.00938231034421,-124.16312782558344,11,24,1,0,0,0,1,3,11,13,3,4,1,36,Ocean Shores
2368,98570,3,46.57625086425463,-122.71113927408834,1,2,0,0,0,0,0,0,1,0,1,1,0,3,Onalaska
2369,98571,12,47.2047683504944,-124.20105367664183,4,8,0,0,0,0,0,0,3,2,4,1,2,12,Pacific Beach
2370,98572,1,46.5732,-123.29727,1,0,0,0,0,0,0,0,0,0,1,0,0,1,PE Ell
2371,98575,3,47.4697436544897,-123.842573245,1,2,0,0,0,0,0,0,1,1,1,0,0,3,Quinault
2372,98576,3,46.88795091993493,-122.68975915268435,3,0,0,0,0,0,0,1,0,0,1,1,0,3,Rainier
2373,98577,12,46.68424525381018,-123.7335172398085,7,5,0,0,0,0,0,4,0,3,2,3,0,12,Raymond
2374,98579,15,46.808165927969114,-123.05444119017233,7,7,1,0,0,0,1,5,2,4,1,1,1,15,Rochester
2375,98580,7,46.97623780095521,-122.54692027731143,3,4,0,0,0,0,0,0,2,2,0,2,1,7,Roy
2376,98584,55,47.22085910666072,-123.10255395679854,30,24,1,0,0,1,3,5,10,11,12,12,1,55,Shelton
2377,98585,1,46.521867290139205,-122.58850559592199,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Silver Creek
2378,98586,8,46.65272207860934,-123.842082320879,4,4,0,0,0,0,0,0,0,1,3,3,1,8,Bay Center
2379,98587,1,47.214394,-124.204472,0,1,0,0,0,0,0,0,1,0,0,0,0,1,Pacific Beach
2380,98589,12,46.8696178393017,-122.842228711107,7,5,0,0,0,0,0,1,1,4,4,2,0,12,Tenino
2381,98590,3,46.72077049999999,-124.01072443333332,1,2,0,0,0,0,0,1,0,1,0,0,1,3,Tokeland
2382,98591,6,46.43354161666667,-122.86133583333333,3,3,0,0,0,0,0,0,1,2,2,1,0,6,Toledo
2383,98592,5,47.351278404017286,-123.08420834760258,2,3,0,0,0,0,0,0,1,2,2,0,0,5,Union
2384,98593,1,46.402326,-122.963154,1,0,0,0,0,0,0,0,0,0,1,0,0,1,Vader
2385,98595,20,46.898283510367584,-124.11138210929627,7,12,1,0,0,1,0,2,0,6,6,5,0,20,Westport
2386,98596,3,46.491612029216604,-122.93215226624368,2,1,0,0,0,0,0,0,0,1,1,1,0,3,Winlock
2387,98597,42,46.93228969595935,-122.59425553953626,20,21,1,0,2,3,4,3,4,14,6,4,2,42,Yelm
