,Unnamed: 0,zip_code,count,latitude,longitude,Price_1,Price_2,Price_3,Price_4,Rating_1,Rating_1.5,Rating_2,Rating_2.5,Rating_3,Rating_3.5,Rating_4,Rating_4.5,Rating_5,count_businesses,city
1633,1633,96105,1,39.79802700000001,-120.13922,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Chilcoot
1634,1634,96106,3,39.75091159399413,-120.53426818896502,0,0,3,0,0,0,0,0,1,0,2,0,0,3,Clio
1635,1635,96107,4,38.47452962920278,-119.47798723795923,3,1,0,0,0,0,0,0,0,1,0,2,1,4,Coleville
1636,1636,96109,1,40.0272338,-120.104056,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Doyle
1637,1637,96114,2,40.301736,-120.523678,1,1,0,0,0,0,0,0,1,0,0,1,0,2,Janesville
1638,1638,96118,2,39.67567470326075,-120.241704892843,0,2,0,0,0,0,0,0,0,0,2,0,0,2,Loyalton
1639,1639,96120,4,38.715128980203964,-119.8097679894145,1,3,0,0,0,0,0,0,1,0,1,1,1,4,Hope Valley
1640,1640,96122,11,39.80546516913901,-120.47499071998129,5,5,1,0,0,1,0,1,4,1,2,2,0,11,Portola
1641,1641,96125,4,39.57873012515593,-120.62519287530928,1,3,0,0,0,0,0,1,0,0,1,1,1,4,Sierra City
1642,1642,96126,3,39.584043239784606,-120.357969488046,0,3,0,0,0,0,0,0,0,0,0,3,0,3,Sierraville
1643,1643,96130,33,40.41349097672849,-120.6433228758239,20,13,0,0,0,2,1,6,5,9,3,7,0,33,Susanville
1644,1644,96134,4,41.9427301616574,-121.45664059472624,1,3,0,0,0,0,0,0,1,0,0,2,1,4,Tulelake
1646,1646,96137,9,40.28391086039942,-121.10561756867679,2,6,0,1,0,0,0,0,0,2,2,5,0,9,Westwood
1647,1647,96140,5,39.2264997513436,-120.0811870459128,1,3,1,0,0,0,0,0,1,2,2,0,0,5,Carnelian Bay
1648,1648,96141,2,39.08476318185426,-120.15958352902052,0,2,0,0,0,0,0,0,0,1,1,0,0,2,Homewood
1649,1649,96142,3,39.071475355289365,-120.14022909943569,1,2,0,0,0,0,0,0,0,2,1,0,0,3,Tahoma
1650,1650,96143,19,39.23751588589533,-120.02500850172574,9,9,1,0,0,1,1,1,3,6,3,4,0,19,Kings Beach
1651,1651,96145,40,39.16875670023439,-120.14476948001551,11,24,5,0,0,0,1,0,7,11,12,9,0,40,Tahoe City
1652,1652,96146,36,39.193997204554634,-120.22933458945049,11,20,5,0,1,1,1,5,6,4,11,2,5,36,Squaw Valley
1653,1653,96148,4,39.239674900000004,-120.0453562,0,3,1,0,0,0,0,0,1,2,0,1,0,4,Tahoe Vista
1654,1654,96150,136,38.931289013438786,-119.97776213671189,45,85,6,0,0,0,1,4,12,26,52,37,4,136,South Lake Tahoe
1655,1655,96155,2,38.854971500000005,-120.0155375,1,1,0,0,0,0,0,0,0,0,0,1,1,2,Tahoe Paradise
1658,1658,96161,95,39.31837185191186,-120.1865847831134,27,54,13,1,0,1,4,8,12,23,26,16,5,95,Truckee
1659,1659,96701,79,21.381945337784952,-157.9391322206995,28,51,0,0,0,0,0,2,3,23,31,20,0,79,Aiea
1660,1660,96703,5,22.149612230552297,-159.316049345217,4,1,0,0,0,0,0,0,0,1,1,2,1,5,Anahola
1661,1661,96704,24,19.405418315701123,-155.8778719635301,9,14,1,0,0,0,0,1,1,1,7,8,6,24,Captain Cook
1662,1662,96705,7,21.903262818452443,-159.58596400904528,3,4,0,0,0,0,0,1,0,2,4,0,0,7,Eleele
1663,1663,96706,23,21.325984039062753,-158.01861341384844,7,16,0,0,0,0,0,1,3,7,5,5,2,23,Ewa Beach
1664,1664,96707,74,21.33502225787159,-158.08588258153253,14,49,6,5,0,0,0,0,5,26,25,18,0,74,Kapolei
1665,1665,96708,14,20.873252380256066,-156.22715516901306,5,9,0,0,0,0,0,0,0,0,5,7,2,14,Haiku
1666,1666,96710,1,19.88635,-155.123,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Hakalau
1667,1667,96712,65,21.599321931495986,-158.09411186727237,21,43,0,1,0,0,2,0,4,5,18,28,8,65,Haleiwa
1668,1668,96713,23,20.754782565399804,-156.01693628202923,8,14,1,0,0,0,0,0,1,2,1,15,4,23,Hana
1669,1669,96714,35,22.19585343270376,-159.49992352844112,11,20,4,0,0,0,0,1,4,10,8,10,2,35,Hanalei
1670,1670,96716,18,21.910544371992877,-159.5908584639985,11,7,0,0,0,0,0,0,0,1,5,11,1,18,Hanapp
1671,1671,96717,11,21.599076496120897,-157.8990572183701,3,8,0,0,0,0,0,0,0,2,2,6,1,11,Hauula
1673,1673,96719,8,20.20154401518544,-155.8353724746255,2,6,0,0,0,0,0,0,0,0,4,2,2,8,Hawi
1674,1674,96720,177,19.715703148728593,-155.08039365072872,87,88,2,0,2,0,9,10,18,39,40,42,17,177,Hilo
1675,1675,96722,20,22.217024385265688,-159.48219547233626,3,13,3,1,0,0,0,0,4,9,5,2,0,20,Princeville
1676,1676,96725,11,19.605904715526766,-155.943433964467,0,9,2,0,0,0,0,0,0,0,1,4,6,11,Holualoa
1677,1677,96726,4,19.432712015838625,-155.890595645752,1,3,0,0,0,0,0,0,0,0,0,0,4,4,Honaunau-Napoopoo
1678,1678,96727,12,20.073058468417376,-155.46982552022067,5,7,0,0,0,0,0,1,0,0,2,6,3,12,Honokaa
1679,1679,96728,2,19.8693794841199,-155.11318896923999,2,0,0,0,0,0,0,0,0,0,1,1,0,2,Honomu
1680,1680,96730,1,21.555577,-157.85286399999995,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Kaaawa
1681,1681,96731,28,21.680399783628264,-146.6835829752607,7,20,1,0,0,0,0,0,2,3,9,10,4,28,Kahuku
1682,1682,96732,78,20.884176981865746,-156.4687990631921,30,47,1,0,0,0,1,2,6,22,17,22,8,78,Kahului
1684,1684,96734,72,21.396155340248033,-157.74174909523163,20,50,2,0,0,0,0,0,5,14,31,21,1,72,Marine Corps Base Hawaii (MCBH)
1685,1685,96737,3,19.087685966666665,-155.78112873333333,2,1,0,0,0,0,0,0,1,0,1,1,0,3,Ocean View
1686,1686,96738,45,19.91994297299044,-155.8686446910246,5,32,6,2,0,1,1,5,11,12,14,1,0,45,Waikoloa Village
1688,1688,96740,146,19.631897182095443,-155.98915088418136,39,102,4,1,0,0,1,5,14,28,48,39,11,146,Kailua-Kona
1689,1689,96741,10,21.921150403403548,-159.52966673578584,4,5,1,0,0,0,0,1,1,1,4,3,0,10,Kalaheo
